Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_hist,adx,market_conditions_neutral,market_conditions_overbought,market_conditions_oversold,market_conditions_trending,price_direction
120.5,122.12,112.25,113.37,16643000,63.48715666742719,,,,29.046447898530698,0,0,1,0,44.72098588728616
111.62,111.94,107.56,109.0,12588800,55.51340812876747,,,,28.21459729999669,0,0,1,0,40.440480930723865
108.12,112.75,106.56,109.7,7135200,56.456813091438505,,,,27.179606905822453,0,0,1,0,40.08337560576684
110.19,110.19,106.87,109.25,7437900,55.63993955371718,,,,26.218544396946374,0,0,1,0,36.88117884074872
107.75,107.94,104.5,107.0,9437900,51.618354038115,,,,24.682443973447914,0,0,1,0,27.892121483044367
108.0,109.69,105.75,109.19,7122300,55.02573733847995,,,,23.659513411321022,0,0,1,0,20.623910916686228
110.69,111.06,108.62,110.0,7676800,56.25293593795777,4.292118314138335,5.886627675848762,-1.5945093617104265,23.014395540271988,0,0,1,0,11.38861380263456
109.06,110.44,107.75,109.2,4836300,54.666360908660074,3.9674368954811854,5.502789519775247,-1.5353526242940614,22.15724700056518,0,0,1,0,-3.384693362677231
108.5,110.12,108.06,110.12,4773500,56.19641777700745,3.7412342239351943,5.1504784606072365,-1.4092442366720421,21.36132335655172,0,0,1,0,-17.14758141275517
109.87,110.31,108.0,108.0,4005600,51.853350744533856,3.3522579516534705,4.7908343588164835,-1.438576407163013,20.67259978254719,0,0,1,0,-30.41246575625305
109.12,110.44,108.19,108.62,4528700,52.99741432738002,3.05876078161333,4.444419643375853,-1.385658861762523,20.069662114942506,0,0,1,0,-32.70581290517658
109.69,110.0,108.12,109.75,3740700,55.09191298551522,2.8840976337857285,4.132355241457828,-1.2482576076721,19.482906585553962,0,0,1,0,-27.22806052987958
109.56,110.75,109.06,109.81,4083100,55.20605227529758,2.7191724024816466,3.849718673662592,-1.1305462711809455,19.172619694574973,0,0,1,0,-18.641342383842538
110.44,110.5,108.75,109.0,2683300,53.238811952075736,2.4943543733689637,3.5786458136038664,-1.0842914402349026,18.75033821087152,0,0,1,0,-5.632035270849108
109.69,110.5,108.56,108.75,3435100,52.615615384383894,2.269846181062789,3.316885887095651,-1.0470397060328618,18.27204117645773,0,0,1,0,0.6812210133850124
109.19,109.5,106.62,107.87,2870300,50.380073352870404,1.9978828260529724,3.053085274887115,-1.0552024488341427,16.988688491230967,0,0,1,0,-1.5182974801286493
112.44,116.0,111.87,116.0,10347700,65.1233855646079,2.4105852365033655,2.9245852672103654,-0.5140000307069998,17.75162829058553,0,0,1,0,11.057862918994077
114.0,114.5,110.87,112.06,8227800,56.38044016383256,2.392154529745099,2.818099119717312,-0.4259445899722132,18.063396628989945,0,0,1,0,14.695638897309367
112.94,119.75,112.12,116.0,12733200,61.8903050815299,2.6647554913476483,2.7874303940433793,-0.122674902695731,19.45099664825448,0,0,1,0,19.552131030864928
118.0,118.94,113.5,114.0,7971900,57.89268238157684,2.688419999824305,2.7676283151995644,-0.07920831537525963,20.73948238042869,0,0,1,0,22.953458462469207
117.25,117.94,110.62,113.5,11856700,56.90312722638856,2.636437264302316,2.741390105020115,-0.10495284071779887,20.840232351642946,0,0,1,0,25.78819998324267
117.25,119.37,115.37,118.0,8540500,63.02823469975014,2.924639539727522,2.778039991961596,0.1465995477659261,21.246856525067304,0,0,1,0,32.19560034043741
